method,sequence_length,precision,latency_ms,throughput_tokens_per_s,dram_bytes_per_token,quality_drop,average_fusion_depth,p95_group_depth,entropy_before,entropy_after,entropy_gain,outlier_before,outlier_after,max_projection_error
static_fusion,8192,w8a8,59.8305,136920.0664,565.1683,0.1323,2.3333,3.0,0.4496,0.497,0.364,0.00057,0.0,0.0
entropy_guided,8192,w8a8,53.9699,151788.2319,506.3078,0.0,3.5,4.0,0.4496,0.497,0.364,0.00057,0.0,0.0
no_fusion,8192,w4a8,72.2943,113314.6216,683.9321,0.1634,1,1.0,0.4496,0.497,0.364,0.00057,0.0,0.0
static_fusion,8192,w4a8,59.413,137882.3809,565.1683,0.2077,2.3333,3.0,0.4496,0.497,0.364,0.00057,0.0,0.0
entropy_guided,8192,w4a8,53.5524,152971.7927,506.3078,0.0666,3.5,4.0,0.4496,0.497,0.364,0.00057,0.0,0.0
no_fusion,8192,fp16,73.2883,111777.7934,683.5683,0.0,1,1.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
static_fusion,8192,fp16,60.4374,135545.1841,565.122,0.0334,2.3333,3.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
entropy_guided,8192,fp16,54.5755,150103.9477,506.2481,0.0,3.5,4.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
no_fusion,8192,w8a8,72.6769,112718.0169,683.5683,0.0894,1,1.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
static_fusion,8192,w8a8,59.8261,136930.2347,565.122,0.1228,2.3333,3.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
entropy_guided,8192,w8a8,53.9642,151804.3771,506.2481,0.0,3.5,4.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
no_fusion,8192,w4a8,72.2594,113369.3907,683.5683,0.1661,1,1.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
static_fusion,8192,w4a8,59.4085,137892.6926,565.122,0.1995,2.3333,3.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
entropy_guided,8192,w4a8,53.5466,152988.1908,506.2481,0.0508,3.5,4.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
no_fusion,8192,fp16,73.581,111333.126,686.6175,0.0,1,1.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
static_fusion,8192,fp16,60.8154,134702.8071,569.059,0.0376,2.3333,3.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
entropy_guided,8192,fp16,54.4822,150360.9992,505.2762,0.0,3.5,4.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
no_fusion,8192,w8a8,72.9697,112265.8524,686.6175,0.0894,1,1.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
static_fusion,8192,w8a8,60.204,136070.609,569.059,0.1271,2.3333,3.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
entropy_guided,8192,w8a8,53.8709,152067.2907,505.2762,0.0,3.5,4.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
no_fusion,8192,w4a8,72.5521,112911.9958,686.6175,0.1661,1,1.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
static_fusion,8192,w4a8,59.7865,137020.9785,569.059,0.2038,2.3333,3.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
entropy_guided,8192,w4a8,53.4533,153255.2244,505.2762,0.0144,3.5,4.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
no_fusion,16384,fp16,83.1661,197003.2331,389.2612,0.0,1,1.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
static_fusion,16384,fp16,68.8905,237826.6528,322.6173,0.086,2.3333,3.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
entropy_guided,16384,fp16,66.5485,246196.4778,310.5754,0.0,2.3333,4.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
no_fusion,16384,w8a8,82.4731,198658.5991,389.2612,0.0902,1,1.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
static_fusion,16384,w8a8,68.1975,240243.3666,322.6173,0.1762,2.3333,3.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
entropy_guided,16384,w8a8,65.8555,248787.214,310.5754,0.0,2.3333,4.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
no_fusion,16384,w4a8,81.9998,199805.3967,389.2612,0.1675,1,1.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
static_fusion,16384,w4a8,67.7242,241922.5572,322.6173,0.2535,2.3333,3.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
entropy_guided,16384,w4a8,65.3821,250588.4111,310.5754,0.0,2.3333,4.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
no_fusion,16384,fp16,83.4541,196323.5263,390.7609,0.0,1,1.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
static_fusion,16384,fp16,69.3695,236184.6314,325.1118,0.08,2.3333,3.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
entropy_guided,16384,fp16,66.7663,245393.3662,311.7097,0.0,2.3333,4.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
no_fusion,16384,w8a8,82.7611,197967.4415,390.7609,0.0892,1,1.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
static_fusion,16384,w8a8,68.6765,238567.9219,325.1118,0.1693,2.3333,3.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
entropy_guided,16384,w8a8,66.0733,247967.1393,311.7097,0.0,2.3333,4.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
no_fusion,16384,w4a8,82.2877,199106.2504,390.7609,0.1657,1,1.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
static_fusion,16384,w4a8,68.2031,240223.6923,325.1118,0.2458,2.3333,3.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
entropy_guided,16384,w4a8,65.5999,249756.4388,311.7097,0.0,2.3333,4.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
no_fusion,16384,fp16,83.4573,196316.062,390.7774,0.0,1,1.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
static_fusion,16384,fp16,69.3066,236398.8188,324.7844,0.0698,2.3333,3.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
entropy_guided,16384,fp16,69.587,235446.2312,325.4636,0.0,1.75,4.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
no_fusion,16384,w8a8,82.7643,197959.8517,390.7774,0.089,1,1.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
static_fusion,16384,w8a8,68.6136,238786.4557,324.7844,0.1588,2.3333,3.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
entropy_guided,16384,w8a8,68.894,237814.5682,325.4636,0.0,1.75,4.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
no_fusion,16384,w4a8,82.2909,199098.5731,390.7774,0.1653,1,1.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
static_fusion,16384,w4a8,68.1402,240445.2715,324.7844,0.2351,2.3333,3.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
entropy_guided,16384,w4a8,68.4207,239459.8618,325.4636,0.0,1.75,4.0,0.3703,0.4207,0.4469,0.000717,6e-06,0.0
no_fusion,16384,fp16,83.2955,196697.2196,389.9351,0.0,1,1.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
static_fusion,16384,fp16,69.0532,237266.3745,323.4645,0.062,2.3333,3.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
entropy_guided,16384,fp16,69.3055,236402.5547,323.9975,0.0,1.75,4.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
no_fusion,16384,w8a8,82.6025,198347.4253,389.9351,0.0894,1,1.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
static_fusion,16384,w8a8,68.3602,239671.6574,323.4645,0.1514,2.3333,3.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
entropy_guided,16384,w8a8,68.6125,238790.2675,323.9975,0.0,1.75,4.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
no_fusion,16384,w4a8,82.1292,199490.6229,389.9351,0.1661,1,1.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
static_fusion,16384,w4a8,67.8868,241342.8377,323.4645,0.228,2.3333,3.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
entropy_guided,16384,w4a8,68.1392,240449.1363,323.9975,0.0,1.75,4.0,0.3948,0.4441,0.4758,0.000773,0.0,0.0
no_fusion,16384,fp16,83.3218,196635.0971,390.0721,0.0,1,1.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
static_fusion,16384,fp16,69.1033,237094.2817,323.7256,0.057,2.3333,3.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
entropy_guided,16384,fp16,69.4862,235787.8308,324.9385,0.0,1.75,4.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
no_fusion,16384,w8a8,82.6288,198284.2562,390.0721,0.0893,1,1.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
static_fusion,16384,w8a8,68.4103,239496.0591,323.7256,0.1463,2.3333,3.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
entropy_guided,16384,w8a8,68.7932,238163.0797,324.9385,0.0,1.75,4.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
no_fusion,16384,w4a8,82.1555,199426.7236,390.0721,0.1659,1,1.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
static_fusion,16384,w4a8,67.937,241164.783,323.7256,0.2229,2.3333,3.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
entropy_guided,16384,w4a8,68.3198,239813.2158,324.9385,0.0,1.75,4.0,0.4166,0.4589,0.4382,0.000758,8e-06,0.0
no_fusion,32768,fp16,93.937,348829.4723,220.5743,0.0,1,1.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
static_fusion,32768,fp16,78.4197,417854.0849,184.0188,0.1242,2.3333,3.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
entropy_guided,32768,fp16,75.4582,434253.5462,176.3847,0.0,2.3333,4.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
no_fusion,32768,w8a8,93.1574,351748.7917,220.5743,0.0901,1,1.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
static_fusion,32768,w8a8,77.6401,422049.9774,184.0188,0.2143,2.3333,3.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
entropy_guided,32768,w8a8,74.6786,438787.0396,176.3847,0.0,2.3333,4.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
no_fusion,32768,w4a8,92.6249,353771.111,220.5743,0.1673,1,1.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
static_fusion,32768,w4a8,77.1076,424964.7964,184.0188,0.2915,2.3333,3.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
entropy_guided,32768,w4a8,74.1461,441938.4892,176.3847,0.0131,2.3333,4.0,0.1926,0.2573,0.4315,0.000867,0.000169,0.0
no_fusion,32768,fp16,93.5176,350393.7515,219.4822,0.0,1,1.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
static_fusion,32768,fp16,77.7938,421216.2069,182.3887,0.1001,2.3333,3.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
entropy_guided,32768,fp16,74.7703,438248.8109,174.5933,0.0,2.3333,4.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
no_fusion,32768,w8a8,92.738,353339.4227,219.4822,0.0898,1,1.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
static_fusion,32768,w8a8,77.0142,425480.2373,182.3887,0.1899,2.3333,3.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
entropy_guided,32768,w8a8,73.9907,442866.5506,174.5933,0.0,2.3333,4.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
no_fusion,32768,w4a8,92.2055,355380.1265,219.4822,0.1668,1,1.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
static_fusion,32768,w4a8,76.4816,428442.7961,182.3887,0.2669,2.3333,3.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
entropy_guided,32768,w4a8,73.4582,446077.0866,174.5933,0.0,2.3333,4.0,0.2579,0.3297,0.476,0.00083,0.0,0.0
no_fusion,32768,fp16,94.0961,348239.5875,220.9886,0.0,1,1.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
static_fusion,32768,fp16,78.5525,417148.0192,184.3645,0.0935,2.3333,3.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
entropy_guided,32768,fp16,70.377,465606.9107,163.621,0.0,3.5,4.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
no_fusion,32768,w8a8,93.3165,351149.0006,220.9886,0.0899,1,1.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
static_fusion,32768,w8a8,77.7728,421329.6728,184.3645,0.1834,2.3333,3.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
entropy_guided,32768,w8a8,69.5973,470822.61,163.621,0.0473,3.5,4.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
no_fusion,32768,w4a8,92.784,353164.4093,220.9886,0.1669,1,1.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
static_fusion,32768,w4a8,77.2403,424234.5166,184.3645,0.2604,2.3333,3.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
entropy_guided,32768,w4a8,69.0648,474452.9324,163.621,0.1244,3.5,4.0,0.3067,0.3495,0.4152,0.000838,0.000242,0.0
no_fusion,32768,fp16,93.6153,350028.0828,219.7366,0.0,1,1.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
static_fusion,32768,fp16,77.9037,420621.6042,182.6751,0.0789,2.3333,3.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
entropy_guided,32768,fp16,75.1259,436174.3273,175.5193,0.0,2.3333,4.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
no_fusion,32768,w8a8,92.8357,352967.5832,219.7366,0.0898,1,1.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
static_fusion,32768,w8a8,77.1241,424873.5438,182.6751,0.1687,2.3333,3.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
entropy_guided,32768,w8a8,74.3463,440748.2255,175.5193,0.0,2.3333,4.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
no_fusion,32768,w4a8,92.3032,355003.9818,219.7366,0.1668,1,1.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
static_fusion,32768,w4a8,76.5916,427827.6307,182.6751,0.2457,2.3333,3.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
entropy_guided,32768,w4a8,73.8138,443928.0113,175.5193,0.0,2.3333,4.0,0.3388,0.3933,0.4235,0.00083,7e-06,0.0
no_fusion,32768,fp16,93.5168,350396.9315,219.4799,0.0,1,1.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
static_fusion,32768,fp16,77.7103,421668.8961,182.1713,0.0663,2.3333,3.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
entropy_guided,32768,fp16,69.6811,470256.9692,161.8087,0.0,3.5,4.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
no_fusion,32768,w8a8,92.7372,353342.6564,219.4799,0.0899,1,1.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
static_fusion,32768,w8a8,76.9306,425942.1432,182.1713,0.1562,2.3333,3.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
entropy_guided,32768,w8a8,68.9014,475577.9634,161.8087,0.0,3.5,4.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
no_fusion,32768,w4a8,92.2046,355383.3977,219.4799,0.1669,1,1.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
static_fusion,32768,w4a8,76.3981,428911.1603,182.1713,0.2332,2.3333,3.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
entropy_guided,32768,w4a8,68.3689,479282.2778,161.8087,0.0681,3.5,4.0,0.3778,0.431,0.4424,0.000839,0.0,0.0
no_fusion,65536,fp16,104.6475,626254.6144,123.1202,0.0,1,1.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
static_fusion,65536,fp16,87.3407,750348.7458,102.5124,0.1129,2.3333,3.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
entropy_guided,65536,fp16,77.9904,840308.0665,90.611,0.0,3.5,4.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
no_fusion,65536,w8a8,103.7763,631512.0079,123.1202,0.0899,1,1.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
static_fusion,65536,w8a8,86.4695,757908.6794,102.5124,0.2028,2.3333,3.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
entropy_guided,65536,w8a8,77.1192,849800.8512,90.611,0.0494,3.5,4.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
no_fusion,65536,w4a8,103.1813,635154.1561,123.1202,0.1669,1,1.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
static_fusion,65536,w4a8,85.8744,763160.7404,102.5124,0.2798,2.3333,3.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
entropy_guided,65536,w4a8,76.5242,856409.2366,90.611,0.1264,3.5,4.0,0.2199,0.2913,0.476,0.000838,2.1e-05,0.0
no_fusion,65536,fp16,104.4366,627519.4884,122.8456,0.0,1,1.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
static_fusion,65536,fp16,87.0779,752613.8403,102.1701,0.0939,2.3333,3.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
entropy_guided,65536,fp16,91.496,716271.7238,107.5583,0.0,1.4,3.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
no_fusion,65536,w8a8,103.5654,632798.2301,122.8456,0.0899,1,1.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
static_fusion,65536,w8a8,86.2067,760219.7167,102.1701,0.1838,2.3333,3.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
entropy_guided,65536,w8a8,90.6248,723157.4317,107.5583,0.0,1.4,3.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
no_fusion,65536,w4a8,102.9703,636455.2726,122.8456,0.167,1,1.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
static_fusion,65536,w4a8,85.6116,765503.9677,102.1701,0.2609,2.3333,3.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
entropy_guided,65536,w4a8,90.0297,727937.3859,107.5583,0.0,1.4,3.0,0.2846,0.3483,0.4636,0.000849,2e-06,0.0
no_fusion,65536,fp16,104.692,625988.4904,123.1782,0.0,1,1.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
static_fusion,65536,fp16,87.4284,749595.9327,102.6266,0.0829,2.3333,3.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
entropy_guided,65536,fp16,78.1565,838522.2957,90.8273,0.0,3.5,4.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
no_fusion,65536,w8a8,103.8208,631241.398,123.1782,0.0897,1,1.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
static_fusion,65536,w8a8,86.5572,757140.628,102.6266,0.1727,2.3333,3.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
entropy_guided,65536,w8a8,77.2853,847974.5494,90.8273,0.0112,3.5,4.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
no_fusion,65536,w4a8,103.2257,634880.4165,123.1782,0.1666,1,1.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
static_fusion,65536,w4a8,85.9622,762382.0129,102.6266,0.2496,2.3333,3.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
entropy_guided,65536,w4a8,76.6903,854554.4512,90.8273,0.0881,3.5,4.0,0.3291,0.3812,0.4561,0.000818,3e-05,0.0
no_fusion,65536,fp16,104.2682,628532.8965,122.6263,0.0,1,1.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
static_fusion,65536,fp16,86.8177,754869.2573,101.8314,0.069,2.3333,3.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
entropy_guided,65536,fp16,91.0815,719531.2252,107.253,0.0,1.75,3.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
no_fusion,65536,w8a8,103.397,633828.7736,122.6263,0.09,1,1.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
static_fusion,65536,w8a8,85.9465,762521.0201,101.8314,0.159,2.3333,3.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
entropy_guided,65536,w8a8,90.2103,726480.0486,107.253,0.0,1.75,3.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
no_fusion,65536,w4a8,102.8019,637497.7717,122.6263,0.1671,1,1.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
static_fusion,65536,w4a8,85.3514,767837.4238,101.8314,0.2361,2.3333,3.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
entropy_guided,65536,w4a8,89.6152,731304.1742,107.253,0.0,1.75,3.0,0.3678,0.4231,0.444,0.000857,0.0,0.0
no_fusion,65536,fp16,104.6491,626245.252,123.1223,0.0,1,1.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
static_fusion,65536,fp16,87.45,749411.4115,102.6546,0.0669,2.3333,3.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
entropy_guided,65536,fp16,83.7644,782385.1376,97.8948,0.0,2.3333,4.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
no_fusion,65536,w8a8,103.7779,631502.4877,123.1223,0.0902,1,1.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
static_fusion,65536,w8a8,86.5788,756952.3742,102.6546,0.1571,2.3333,3.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
entropy_guided,65536,w8a8,82.8932,790607.937,97.8948,0.0,2.3333,4.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
no_fusion,65536,w4a8,103.1828,635144.5258,123.1223,0.1675,1,1.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
static_fusion,65536,w4a8,85.9837,762191.144,102.6546,0.2344,2.3333,3.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
entropy_guided,65536,w4a8,82.2981,796324.6739,97.8948,0.0,2.3333,4.0,0.3865,0.4293,0.4925,0.000884,4.8e-05,0.0
